Timestamp for sample frequency every 1 min,Temperature_Celsius,Umidità Relativa
2/24/2018 22:35,19.9995,43.6521
2/24/2018 22:36,19.9995,43.6826
2/24/2018 22:37,19.9995,43.7131
2/24/2018 22:38,19.9995,43.7131
2/24/2018 22:39,19.9888,43.7437
2/24/2018 22:40,19.9888,43.7742
2/24/2018 22:41,19.9888,43.8352
2/24/2018 22:42,19.9888,43.8352
2/24/2018 22:43,19.9888,43.8657
2/24/2018 22:44,19.9888,43.8962
2/24/2018 22:45,19.9781,43.9268
2/24/2018 22:46,19.9781,43.9573
2/24/2018 22:47,19.9781,44.0183
2/24/2018 22:48,19.9781,44.0488
2/24/2018 22:49,19.9781,44.1099
2/24/2018 22:50,19.9781,44.1099
2/24/2018 22:51,19.9888,44.1404
2/24/2018 22:52,19.9888,44.1709
2/24/2018 22:53,19.9781,44.2014
2/24/2018 22:54,19.9888,44.2319
2/24/2018 22:55,19.9781,44.2625
2/24/2018 22:56,19.9888,44.293
2/24/2018 22:57,19.9888,44.293
2/24/2018 22:58,19.9888,44.3235
2/24/2018 22:59,19.9888,44.354
2/24/2018 23:00,19.9995,44.3845
2/24/2018 23:01,19.9995,44.4456
2/24/2018 23:02,19.9995,44.4761
2/24/2018 23:03,19.9995,44.5066
2/24/2018 23:04,19.9995,44.5371
2/24/2018 23:05,20.0103,44.5676
2/24/2018 23:06,20.0103,44.5676
2/24/2018 23:07,20.0103,44.6287
2/24/2018 23:08,20.0103,44.6287
2/24/2018 23:09,20.0103,44.6897
2/24/2018 23:10,20.0103,44.6897
2/24/2018 23:11,20.0103,44.7202
2/24/2018 23:12,20.0103,44.7507
2/24/2018 23:13,20.0103,44.7812
2/24/2018 23:14,20.0103,44.8118
2/24/2018 23:15,20.0103,44.8118
2/24/2018 23:16,20.0103,44.9033
2/24/2018 23:17,20.0103,44.9338
2/24/2018 23:18,20.0103,44.9644
2/24/2018 23:19,20.0103,44.9644
2/24/2018 23:20,20.0103,44.9949
2/24/2018 23:21,20.0103,45.0254
2/24/2018 23:22,20.0103,45.0559
2/24/2018 23:23,19.9995,45.0864
2/24/2018 23:24,19.9995,45.0864
2/24/2018 23:25,19.9995,45.1475
2/24/2018 23:26,19.9995,45.1475
2/24/2018 23:27,19.9995,45.178
2/24/2018 23:28,19.9995,45.2085
2/24/2018 23:29,19.9888,45.239
2/24/2018 23:30,19.9888,45.239
2/24/2018 23:31,19.9781,45.3
2/24/2018 23:32,19.9781,45.3
2/24/2018 23:33,19.9781,45.3306
2/24/2018 23:34,19.9781,45.3306
2/24/2018 23:35,19.9781,45.3306
2/24/2018 23:36,19.9674,45.3306
2/24/2018 23:37,19.9674,45.3306
2/24/2018 23:38,19.9566,45.3306
2/24/2018 23:39,19.9566,45.3306
2/24/2018 23:40,19.9566,45.3
2/24/2018 23:41,19.9459,45.3
2/24/2018 23:42,19.9459,45.3
2/24/2018 23:43,19.9352,45.3
2/24/2018 23:44,19.9352,45.3
2/24/2018 23:45,19.9352,45.3
2/24/2018 23:46,19.9245,45.3
2/24/2018 23:47,19.9245,45.3
2/24/2018 23:48,19.9137,45.3
2/24/2018 23:49,19.9137,45.3
2/24/2018 23:50,19.9137,45.3
2/24/2018 23:51,19.903,45.3
2/24/2018 23:52,19.903,45.3
2/24/2018 23:53,19.8923,45.3
2/24/2018 23:54,19.8923,45.3306
2/24/2018 23:55,19.8816,45.3306
2/24/2018 23:56,19.8816,45.3611
2/24/2018 23:57,19.8816,45.3916
2/24/2018 23:58,19.8816,45.3916
2/24/2018 23:59,19.8816,45.3916
2/25/2018 0:00,19.8708,45.4221
2/25/2018 0:01,19.8601,45.4526
2/25/2018 0:02,19.8601,45.4526
2/25/2018 0:03,19.8601,45.4832
2/25/2018 0:04,19.8494,45.5442
2/25/2018 0:05,19.8494,45.5442
2/25/2018 0:06,19.8387,45.5442
2/25/2018 0:07,19.8387,45.5747
2/25/2018 0:08,19.8279,45.6052
2/25/2018 0:09,19.8279,45.6052
2/25/2018 0:10,19.8279,45.6052
2/25/2018 0:11,19.8279,45.6357
2/25/2018 0:12,19.8172,45.6357
2/25/2018 0:13,19.8065,45.6663
2/25/2018 0:14,19.8065,45.6663
2/25/2018 0:15,19.8065,45.6663
2/25/2018 0:16,19.7958,45.6663
2/25/2018 0:17,19.7958,45.6968
2/25/2018 0:18,19.7958,45.7273
2/25/2018 0:19,19.785,45.7273
2/25/2018 0:20,19.785,45.7273
2/25/2018 0:21,19.7743,45.7578
2/25/2018 0:22,19.7743,45.7578
2/25/2018 0:23,19.7743,45.7883
2/25/2018 0:24,19.7636,45.7883
2/25/2018 0:25,19.7636,45.7883
2/25/2018 0:26,19.7529,45.8188
2/25/2018 0:27,19.7421,45.8188
2/25/2018 0:28,19.7421,45.8494
2/25/2018 0:29,19.7421,45.8494
2/25/2018 0:30,19.7421,45.8799
2/25/2018 0:31,19.7314,45.8799
2/25/2018 0:32,19.7314,45.9104
2/25/2018 0:33,19.7207,45.9104
2/25/2018 0:34,19.7207,45.9409
2/25/2018 0:35,19.71,45.9714
2/25/2018 0:36,19.6992,45.9714
2/25/2018 0:37,19.6992,45.9714
2/25/2018 0:38,19.6992,46.002
2/25/2018 0:39,19.6992,46.002
2/25/2018 0:40,19.6992,46.0325
2/25/2018 0:41,19.6885,46.0325
2/25/2018 0:42,19.6885,46.0325
2/25/2018 0:43,19.6778,46.0935
2/25/2018 0:44,19.6778,46.0935
2/25/2018 0:45,19.6563,46.124
2/25/2018 0:46,19.6563,46.124
2/25/2018 0:47,19.6456,46.1545
2/25/2018 0:48,19.6456,46.1545
2/25/2018 0:49,19.6456,46.1545
2/25/2018 0:50,19.6349,46.2156
2/25/2018 0:51,19.6349,46.2461
2/25/2018 0:52,19.6349,46.2461
2/25/2018 0:53,19.6242,46.2766
2/25/2018 0:54,19.6134,46.3071
2/25/2018 0:55,19.6134,46.3071
2/25/2018 0:56,19.6134,46.3376
2/25/2018 0:57,19.6134,46.3376
2/25/2018 0:58,19.6027,46.3682
2/25/2018 0:59,19.6027,46.3682
2/25/2018 1:00,19.6027,46.3987
2/25/2018 1:01,19.592,46.4292
2/25/2018 1:02,19.592,46.4292
2/25/2018 1:03,19.5705,46.4597
2/25/2018 1:04,19.5705,46.4597
2/25/2018 1:05,19.5598,46.4902
2/25/2018 1:06,19.5598,46.4902
2/25/2018 1:07,19.5598,46.4902
2/25/2018 1:08,19.5598,46.5513
2/25/2018 1:09,19.5491,46.5513
2/25/2018 1:10,19.5491,46.5818
2/25/2018 1:11,19.5384,46.6123
2/25/2018 1:12,19.5384,46.6123
2/25/2018 1:13,19.5276,46.6123
2/25/2018 1:14,19.5276,46.6428
2/25/2018 1:15,19.5276,46.6733
2/25/2018 1:16,19.5276,46.6733
2/25/2018 1:17,19.5169,46.7039
2/25/2018 1:18,19.5169,46.7344
2/25/2018 1:19,19.5062,46.7649
2/25/2018 1:20,19.5062,46.7954
2/25/2018 1:21,19.5062,46.7954
2/25/2018 1:22,19.5062,46.7954
2/25/2018 1:23,19.4955,46.7954
2/25/2018 1:24,19.4847,46.7954
2/25/2018 1:25,19.4847,46.7954
2/25/2018 1:26,19.4847,46.7954
2/25/2018 1:27,19.474,46.8259
2/25/2018 1:28,19.4847,46.8259
2/25/2018 1:29,19.474,46.8259
2/25/2018 1:30,19.474,46.887
2/25/2018 1:31,19.4633,46.887
2/25/2018 1:32,19.4633,46.9175
2/25/2018 1:33,19.4633,46.948
2/25/2018 1:34,19.4633,46.9785
2/25/2018 1:35,19.4526,47.009
2/25/2018 1:36,19.4526,47.0396
2/25/2018 1:37,19.4526,47.0396
2/25/2018 1:38,19.4418,47.0701
2/25/2018 1:39,19.4418,47.0701
2/25/2018 1:40,19.4418,47.1006
2/25/2018 1:41,19.4311,47.1006
2/25/2018 1:42,19.4311,47.1311
2/25/2018 1:43,19.4204,47.1311
2/25/2018 1:44,19.4204,47.1616
2/25/2018 1:45,19.4204,47.1921
2/25/2018 1:46,19.4097,47.2227
2/25/2018 1:47,19.4097,47.2227
2/25/2018 1:48,19.4097,47.2532
2/25/2018 1:49,19.4097,47.2837
2/25/2018 1:50,19.4097,47.3447
2/25/2018 1:51,19.3989,47.3142
2/25/2018 1:52,19.3989,47.3447
2/25/2018 1:53,19.3989,47.3752
2/25/2018 1:54,19.3989,47.3752
2/25/2018 1:55,19.3882,47.4058
2/25/2018 1:56,19.3882,47.4058
2/25/2018 1:57,19.3775,47.4363
2/25/2018 1:58,19.3775,47.4668
2/25/2018 1:59,19.3775,47.4668
2/25/2018 2:00,19.3668,47.4668
2/25/2018 2:01,19.3668,47.4973
2/25/2018 2:02,19.356,47.4973
2/25/2018 2:03,19.356,47.5278
2/25/2018 2:04,19.356,47.5278
2/25/2018 2:05,19.3453,47.5278
2/25/2018 2:06,19.3453,47.5583
2/25/2018 2:07,19.3453,47.6194
2/25/2018 2:08,19.3346,47.6194
2/25/2018 2:09,19.3346,47.6194
2/25/2018 2:10,19.3346,47.6499
2/25/2018 2:11,19.3239,47.6499
2/25/2018 2:12,19.3239,47.6804
2/25/2018 2:13,19.3239,47.6804
2/25/2018 2:14,19.3131,47.7109
2/25/2018 2:15,19.3131,47.7415
2/25/2018 2:16,19.3131,47.7415
2/25/2018 2:17,19.3024,47.7415
2/25/2018 2:18,19.3024,47.772
2/25/2018 2:19,19.3024,47.772
2/25/2018 2:20,19.2917,47.8025
2/25/2018 2:21,19.2917,47.8025
2/25/2018 2:22,19.2917,47.8025
2/25/2018 2:23,19.281,47.833
2/25/2018 2:24,19.281,47.833
2/25/2018 2:25,19.281,47.8635
2/25/2018 2:26,19.281,47.894
2/25/2018 2:27,19.2702,47.894
2/25/2018 2:28,19.2702,47.9246
2/25/2018 2:29,19.2702,47.9551
2/25/2018 2:30,19.2595,47.9551
2/25/2018 2:31,19.2595,47.9856
2/25/2018 2:32,19.2595,47.9856
2/25/2018 2:33,19.2595,48.0466
2/25/2018 2:34,19.2488,48.0466
2/25/2018 2:35,19.2488,48.0771
2/25/2018 2:36,19.2488,48.0771
2/25/2018 2:37,19.2381,48.1077
2/25/2018 2:38,19.2381,48.1382
2/25/2018 2:39,19.2273,48.1382
2/25/2018 2:40,19.2273,48.1382
2/25/2018 2:41,19.2273,48.1382
2/25/2018 2:42,19.2166,48.1382
2/25/2018 2:43,19.2166,48.1687
2/25/2018 2:44,19.2059,48.1687
